--------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  D:\Program Files\Stata15\frequencia_cnae.txt
  log type:  text
 opened on:  19 Feb 2025, 17:13:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD4360_000000.tmp"

. tabulate cnae20subclasse, sort

   CNAE 2.0 |
  Subclasse |      Freq.     Percent        Cum.
------------+-----------------------------------
    1121600 |      3,917        0.03       94.39
    3319800 |      3,897        0.03       94.41
    2865800 |      3,856        0.03       94.44
    4649402 |      3,852        0.03       94.46
    5111100 |      3,844        0.03       94.49
    1529700 |      3,829        0.03       94.52
    2815102 |      3,807        0.03       94.54
    4744003 |      3,807        0.03       94.57
     210101 |      3,789        0.03       94.59
    2013401 |      3,771        0.03       94.62
    4665600 |      3,707        0.02       94.64
    3512300 |      3,704        0.02       94.67
    5822101 |      3,689        0.02       94.69
     155503 |      3,668        0.02       94.72
    8650003 |      3,636        0.02       94.74
    6493000 |      3,609        0.02       94.77
    3240099 |      3,594        0.02       94.79
    4652400 |      3,584        0.02       94.82
    3299004 |      3,562        0.02       94.84
    6920602 |      3,556        0.02       94.86
    4681801 |      3,536        0.02       94.89
    4647801 |      3,535        0.02       94.91
    8621601 |      3,535        0.02       94.93
    3821100 |      3,506        0.02       94.96
     162803 |      3,487        0.02       94.98
    3312102 |      3,476        0.02       95.00
     500301 |      3,467        0.02       95.03
    2029100 |      3,465        0.02       95.05
    2822401 |      3,462        0.02       95.07
    4617600 |      3,437        0.02       95.10
    6120501 |      3,425        0.02       95.12
    2950600 |      3,420        0.02       95.14
    7111100 |      3,407        0.02       95.17
    5240199 |      3,405        0.02       95.19
    3314707 |      3,393        0.02       95.21
    1353700 |      3,389        0.02       95.24
    4330401 |      3,386        0.02       95.26
    4631100 |      3,385        0.02       95.28
    3314711 |      3,349        0.02       95.30
    4399102 |      3,335        0.02       95.33
    3230200 |      3,328        0.02       95.35
    7723300 |      3,315        0.02       95.37
    2740602 |      3,311        0.02       95.39
    2399199 |      3,306        0.02       95.42
    5320201 |      3,301        0.02       95.44
    4681802 |      3,288        0.02       95.46
    5232000 |      3,282        0.02       95.48
    3313901 |      3,278        0.02       95.50
    3211602 |      3,274        0.02       95.53
    2452100 |      3,264        0.02       95.55
    3313999 |      3,251        0.02       95.57
    3702900 |      3,247        0.02       95.59
    4637104 |      3,245        0.02       95.61
    4763603 |      3,239        0.02       95.64
    4679604 |      3,230        0.02       95.66
    8711501 |      3,213        0.02       95.68
    4632003 |      3,188        0.02       95.70
    7119704 |      3,171        0.02       95.72
    8712300 |      3,138        0.02       95.74
    7420001 |      3,128        0.02       95.76
    5811500 |      3,127        0.02       95.78
    1063500 |      3,126        0.02       95.81
    8599605 |      3,118        0.02       95.83
    2423702 |      3,116        0.02       95.85
    5250803 |      3,106        0.02       95.87
    4211102 |      3,101        0.02       95.89
    4623108 |      3,096        0.02       95.91
    4732600 |      3,092        0.02       95.93
    2513600 |      3,086        0.02       95.95
    5829800 |      3,083        0.02       95.97
    7490103 |      3,024        0.02       95.99
    4399104 |      3,019        0.02       96.01
    4644302 |      3,016        0.02       96.03
    3329501 |      3,008        0.02       96.05
    2441502 |      3,001        0.02       96.07
    1811302 |      3,000        0.02       96.09
    7119701 |      2,979        0.02       96.11
    2591800 |      2,950        0.02       96.13
    4649408 |      2,934        0.02       96.15
    4681805 |      2,928        0.02       96.17
     155504 |      2,924        0.02       96.19
    2051700 |      2,913        0.02       96.21
    8599603 |      2,883        0.02       96.23
    6399200 |      2,878        0.02       96.25
    4641901 |      2,864        0.02       96.27
    4744004 |      2,852        0.02       96.29
    8591100 |      2,845        0.02       96.31
    8640299 |      2,821        0.02       96.33
    5620103 |      2,794        0.02       96.35
    2640000 |      2,789        0.02       96.37
    3012100 |      2,769        0.02       96.38
    8640201 |      2,750        0.02       96.40
    4649401 |      2,724        0.02       96.42
    2622100 |      2,713        0.02       96.44
    9412001 |      2,712        0.02       96.46
    4637107 |      2,706        0.02       96.48
    3091102 |      2,695        0.02       96.49
     210199 |      2,688        0.02       96.51
    7733100 |      2,658        0.02       96.53
    4923002 |      2,656        0.02       96.55
    7739003 |      2,646        0.02       96.57
    4744006 |      2,641        0.02       96.58
    2091600 |      2,628        0.02       96.60
    2825900 |      2,625        0.02       96.62
    1532700 |      2,603        0.02       96.64
    8230002 |      2,600        0.02       96.65
     122900 |      2,597        0.02       96.67
     119904 |      2,596        0.02       96.69
    4785799 |      2,572        0.02       96.71
    6512000 |      2,567        0.02       96.72
    1821100 |      2,563        0.02       96.74
    2864000 |      2,543        0.02       96.76
    2320600 |      2,542        0.02       96.77
    5250801 |      2,518        0.02       96.79
    7732202 |      2,511        0.02       96.81
    3250707 |      2,508        0.02       96.83
    5310502 |      2,500        0.02       96.84
    2031200 |      2,496        0.02       96.86
    2431800 |      2,491        0.02       96.88
    1099602 |      2,483        0.02       96.89
    2621300 |      2,461        0.02       96.91
    4641903 |      2,455        0.02       96.93
    3314721 |      2,454        0.02       96.94
    4319300 |      2,435        0.02       96.96
    5590699 |      2,431        0.02       96.97
    3311200 |      2,427        0.02       96.99
    5250802 |      2,420        0.02       97.01
    4687702 |      2,405        0.02       97.02
    4721103 |      2,405        0.02       97.04
     810004 |      2,392        0.02       97.06
    4782202 |      2,388        0.02       97.07
    1314600 |      2,381        0.02       97.09
    1722200 |      2,378        0.02       97.10
    1033301 |      2,374        0.02       97.12
    8219901 |      2,366        0.02       97.14
    4634603 |      2,364        0.02       97.15
    2093200 |      2,343        0.02       97.17
    3314719 |      2,327        0.02       97.18
    2392300 |      2,317        0.02       97.20
    7990200 |      2,259        0.02       97.21
    1932200 |      2,238        0.02       97.23
    9529105 |      2,235        0.02       97.24
    6499999 |      2,229        0.02       97.26
     161001 |      2,225        0.01       97.27
    5821200 |      2,216        0.01       97.29
    4649404 |      2,207        0.01       97.30
    2631100 |      2,200        0.01       97.32
    3314708 |      2,190        0.01       97.33
    4618499 |      2,185        0.01       97.35
    4664800 |      2,183        0.01       97.36
    6613400 |      2,175        0.01       97.38
    1033302 |      2,165        0.01       97.39
    1921700 |      2,130        0.01       97.41
    8621602 |      2,123        0.01       97.42
    6463800 |      2,119        0.01       97.43
    8640206 |      2,110        0.01       97.45
    9311500 |      2,096        0.01       97.46
    4754703 |      2,078        0.01       97.48
    4722902 |      2,065        0.01       97.49
    9319199 |      2,064        0.01       97.50
    1822999 |      2,062        0.01       97.52
    2330303 |      2,060        0.01       97.53
     132600 |      2,048        0.01       97.55
    4789008 |      2,048        0.01       97.56
    8640207 |      2,045        0.01       97.57
    4647802 |      2,006        0.01       97.59
    2449199 |      1,990        0.01       97.60
    3831999 |      1,967        0.01       97.61
    2930103 |      1,966        0.01       97.63
    4646002 |      1,960        0.01       97.64
    5229099 |      1,959        0.01       97.65
    4639702 |      1,957        0.01       97.67
    1421500 |      1,928        0.01       97.68
     139399 |      1,903        0.01       97.69
    7312200 |      1,885        0.01       97.71
    4543900 |      1,881        0.01       97.72
    1742701 |      1,870        0.01       97.73
    4399105 |      1,851        0.01       97.74
    7119703 |      1,851        0.01       97.76
    2910703 |      1,831        0.01       97.77
    4322303 |      1,831        0.01       97.78
    3299005 |      1,824        0.01       97.79
    9102302 |      1,821        0.01       97.80
    4662100 |      1,811        0.01       97.82
     151203 |      1,805        0.01       97.83
    8640204 |      1,760        0.01       97.84
    8650006 |      1,759        0.01       97.85
    2853400 |      1,745        0.01       97.86
    4623102 |      1,742        0.01       97.88
     133402 |      1,737        0.01       97.89
    2599301 |      1,731        0.01       97.90
