----------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann\frequencia_cbo.txt
  log type:  text
 opened on:   8 Feb 2025, 21:35:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD1930_000000.tmp"

. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     322215 |      2,311        0.02       94.44
     773510 |      2,304        0.02       94.46
     951310 |      2,302        0.02       94.47
     510130 |      2,293        0.02       94.49
     300105 |      2,291        0.02       94.50
     821435 |      2,289        0.02       94.52
     914410 |      2,279        0.02       94.53
     311710 |      2,275        0.02       94.55
     765405 |      2,272        0.02       94.56
     123110 |      2,262        0.02       94.58
     223905 |      2,251        0.02       94.59
     992205 |      2,239        0.02       94.61
     911325 |      2,227        0.01       94.62
     231330 |      2,210        0.01       94.64
     421305 |      2,199        0.01       94.65
     511205 |      2,189        0.01       94.67
     342535 |      2,179        0.01       94.68
     510135 |      2,174        0.01       94.70
     950305 |      2,173        0.01       94.71
     415105 |      2,171        0.01       94.73
     342310 |      2,165        0.01       94.74
     231320 |      2,158        0.01       94.76
     212315 |      2,156        0.01       94.77
     212320 |      2,141        0.01       94.78
     513115 |      2,132        0.01       94.80
     317105 |      2,109        0.01       94.81
     848605 |      2,109        0.01       94.83
     261125 |      2,108        0.01       94.84
     352310 |      2,100        0.01       94.86
     731325 |      2,097        0.01       94.87
     374405 |      2,088        0.01       94.88
     517315 |      2,083        0.01       94.90
     241010 |      2,076        0.01       94.91
     811805 |      2,075        0.01       94.93
     351715 |      2,061        0.01       94.94
     342120 |      2,059        0.01       94.95
     221105 |      2,058        0.01       94.97
     773125 |      2,058        0.01       94.98
     223415 |      2,054        0.01       94.99
     391135 |      2,052        0.01       95.01
     642010 |      2,037        0.01       95.02
     722105 |      2,031        0.01       95.04
     516110 |      2,027        0.01       95.05
     516325 |      2,019        0.01       95.06
     523105 |      2,014        0.01       95.08
     833120 |      1,994        0.01       95.09
     516415 |      1,990        0.01       95.10
     811130 |      1,979        0.01       95.12
     225142 |      1,968        0.01       95.13
     252540 |      1,964        0.01       95.14
     517405 |      1,961        0.01       95.16
     711230 |      1,960        0.01       95.17
     712120 |      1,959        0.01       95.18
     992210 |      1,954        0.01       95.20
     516205 |      1,949        0.01       95.21
     321210 |      1,944        0.01       95.22
     232125 |      1,937        0.01       95.24
     724420 |      1,933        0.01       95.25
     630110 |      1,909        0.01       95.26
     111325 |      1,905        0.01       95.27
     123305 |      1,903        0.01       95.29
     318705 |      1,902        0.01       95.30
     642005 |      1,896        0.01       95.31
     510105 |      1,895        0.01       95.32
     782145 |      1,893        0.01       95.34
     715145 |      1,869        0.01       95.35
     421120 |      1,863        0.01       95.36
     821305 |      1,862        0.01       95.38
     242305 |      1,859        0.01       95.39
     225124 |      1,854        0.01       95.40
     261215 |      1,846        0.01       95.41
     780105 |      1,844        0.01       95.43
     832135 |      1,844        0.01       95.44
     311410 |      1,843        0.01       95.45
     142325 |      1,842        0.01       95.46
     311505 |      1,834        0.01       95.47
     914420 |      1,820        0.01       95.49
     261120 |      1,817        0.01       95.50
     721220 |      1,813        0.01       95.51
     848325 |      1,803        0.01       95.52
     782705 |      1,800        0.01       95.54
     992105 |      1,797        0.01       95.55
     353230 |      1,790        0.01       95.56
     761415 |      1,787        0.01       95.57
     225140 |      1,786        0.01       95.58
     214910 |      1,772        0.01       95.60
     242235 |      1,770        0.01       95.61
     841805 |      1,765        0.01       95.62
     234410 |      1,764        0.01       95.63
     833110 |      1,749        0.01       95.64
     351415 |      1,747        0.01       95.65
     712220 |      1,736        0.01       95.67
     720210 |      1,730        0.01       95.68
     783205 |      1,730        0.01       95.69
     622730 |      1,725        0.01       95.70
     773105 |      1,722        0.01       95.71
     204105 |      1,718        0.01       95.72
     224105 |      1,716        0.01       95.74
     723310 |      1,715        0.01       95.75
     241225 |      1,707        0.01       95.76
     420110 |      1,679        0.01       95.77
     234435 |      1,677        0.01       95.78
     722320 |      1,676        0.01       95.79
     212305 |      1,664        0.01       95.80
     715705 |      1,663        0.01       95.82
     782110 |      1,655        0.01       95.83
     322210 |      1,653        0.01       95.84
     751010 |      1,653        0.01       95.85
     761430 |      1,653        0.01       95.86
