---------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann
> \frequencia_cbo.txt
  log type:  text
 opened on:  25 Jan 2025, 16:16:16

. 
. * Executar o comando
. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     510205 |        592        0.01       96.40
     252515 |        590        0.01       96.41
     411015 |        590        0.01       96.42
     782610 |        590        0.01       96.43
     225124 |        583        0.01       96.44
     351725 |        583        0.01       96.45
     721220 |        581        0.01       96.46
     910210 |        581        0.01       96.46
     848325 |        574        0.01       96.47
     841805 |        571        0.01       96.48
     142515 |        569        0.01       96.49
     841310 |        566        0.01       96.50
     233125 |        564        0.01       96.51
     318605 |        563        0.01       96.52
     142410 |        562        0.01       96.53
     833110 |        561        0.01       96.54
     712220 |        553        0.01       96.55
     231330 |        551        0.01       96.56
     325110 |        551        0.01       96.57
     313415 |        549        0.01       96.58
     353235 |        548        0.01       96.59
     234515 |        544        0.01       96.60
     311410 |        542        0.01       96.61
     810110 |        542        0.01       96.61
     731160 |        538        0.01       96.62
     241225 |        536        0.01       96.63
     848210 |        536        0.01       96.64
     410230 |        533        0.01       96.65
     313410 |        530        0.01       96.66
     517205 |        529        0.01       96.67
     725310 |        529        0.01       96.68
     715535 |        527        0.01       96.69
     910205 |        527        0.01       96.70
     765110 |        526        0.01       96.70
     351315 |        525        0.01       96.71
     411050 |        524        0.01       96.72
     763115 |        524        0.01       96.73
     612005 |        523        0.01       96.74
     519310 |        522        0.01       96.75
     715120 |        522        0.01       96.76
     623125 |        520        0.01       96.77
     725225 |        520        0.01       96.77
     223510 |        519        0.01       96.78
     322410 |        510        0.01       96.79
     514330 |        508        0.01       96.80
     142310 |        505        0.01       96.81
